 100XAA10   | >F1 30XAA91=(PCA2 x A57) >F2 100XAA10=(30AA5MF x 83AA1MF)
 100XAA10   | >F1 41XAA91=(A10 x A73) >F2 83XAA04=(A502 x AA4102) >F3 100XAA10=(30AA5MF x 83AA1MF)
 101XAA10   | >F1 30XAA91=(PCA2 x A57) >F2 101XAA10=(30AA5MF x NORTHFOX)
 102XAA10   | >F1 35XAA91=(PCA2 x JAMIE) >F2 102XAA10=(35AA202 x NORTHFOX)
 103XAA10   | >F1 33XAA91=(A10 x JAMIE) >F2 103XAA10=(33AA11 x NORTHFOX)
 104XAA10   | >F1 35XAA91=(PCA2 x JAMIE) >F2 104XAA10=(35AA202 x 83AA2MF)
 104XAA10   | >F1 41XAA91=(A10 x A73) >F2 83XAA04=(A502 x AA4102) >F3 104XAA10=(35AA202 x 83AA2MF)
 105xAA     | >F1 3XAA89=(A10 x JAMIE) >F2 105xAA=(3AA202 x NORTHFOX)
 106xAA     | >F1 41XAA91=(A10 x A73) >F2 83XAA04=(A502 x AA4102) >F3 106xAA=(83AA565 x NORTHFOX)
 107xAA     | >F1 23XAA91=(PCA2 x PRINCE) >F2 80XAA04=(AA2301 x AA4102) >F3 107xAA=(30AA5MF x 80AA3MF)
 107xAA     | >F1 30XAA91=(PCA2 x A57) >F2 107xAA=(30AA5MF x 80AA3MF)
 107xAA     | >F1 41XAA91=(A10 x A73) >F2 80XAA04=(AA2301 x AA4102) >F3 107xAA=(30AA5MF x 80AA3MF)
 10XAA91    | >F1 10XAA91=(PIONEER x A344)
 10xBR      | >F1 10xBR=(CAG204 x AGRR1)
 10XGA91    | >F1 10XGA91=(BT044 x A546)
 10XTG93    | >F1 10XTG93=(ST7 x BT016)
 11XAA90    | >F1 11XAA90=(PIONEER x PRINCE)
 11XAAG91   | >F1 11XAAG91=(A266 x AGMORIN)
 11xAB      | >F1 11xAB=(A266 x CAG177)
 11XTG93    | >F1 11XTG93=(ST8 x AGMORIN)
 12XAA90    | >F1 12XAA90=(PCA1 x EBL)
 12XAG91    | >F1 12XAG91=(A266 x AGMORIN)
 12XGAA91   | >F1 12XGAA91=(GA14 x PRINCE)
 12xRB      | >F1 12xRB=(PLAZA x CAG177)
 12XTG93    | >F1 12XTG93=(ST8 x BT017)
 13XAA90    | >F1 13XAA90=(PCA1 x PRINCE)
 13XAG91    | >F1 13XAG91=(A10 x TBD)
 13XGAG91   | >F1 13XGAG91=(GA14 x AGMORIN)
 13xGB      | >F1 1XGG91=(BT044 x BT016) >F2 13xGB=(GG102 x CAG177)
 13XTG93    | >F1 13XTG93=(ST9 x AGMORIN)
 14XAA90    | >F1 14XAA90=(ALGER x A344)
 14XAG91    | >F1 14XAG91=(A10 x TBD)
 14xB       | >F1 14xB=(C173 x AGRR1)
 14XGAA91   | >F1 14XGAA91=(GA14 x JAMIE)
 14XTG93    | >F1 14XTG93=(ST9 x BT017)
 15XAA90    | >F1 15XAA90=(ALGER x PRINCE)
 15XAG91    | >F1 15XAG91=(A10 x BT016)
 15XAGA91   | >F1 15XAGA91=(FHAG x JAMIE)
 15xB       | >F1 9XAG91=(PCA2 x BT016) >F2 15xB=(C173 x 9AG105)
 15XTG93    | >F1 15XTG93=(ST10 x AGMORIN)
 16XAA91    | >F1 16XAA91=(A10 x YUGO2)
 16XAAG91   | >F1 16XAAG91=(A502 x AGMORIN)
 16xAB      | >F1 41XAA91=(A10 x A73) >F2 83XAA04=(A502 x AA4102) >F3 16xAB=(83AA565 x CAG177)
